level1,level2,level3,occurrences
Α. ΣΥΝΤΗΡΗΣΗ,17. ΚΟΥΡΤΙΝΟΞΥΛΟ,,9
Β. ΗΛΕΚΤΡΟΛΟΓΙΚΑ,10. ΦΩΤΙΣΜΟΣ ΚΟΙΝΟΧΡΗΣΤΩΝ,,9
Β. ΗΛΕΚΤΡΟΛΟΓΙΚΑ,1. ΣΠΟΤΑΚΙΑ ΔΙΑΔΡΟΜΩΝ,,9
Α. ΣΥΝΤΗΡΗΣΗ,26. ΠΥΡΑΣΦΑΛΕΙΑ,5. ΑΠΛΙΚΕΣ ΤΟΙΧΟΥ,9
Α. ΣΥΝΤΗΡΗΣΗ,15. ΚΑΘΡΕΠΤΗΣ,,9
Α. ΣΥΝΤΗΡΗΣΗ,26. ΠΥΡΑΣΦΑΛΕΙΑ,26.a ΠΥΡΑΝΙΧΕΥΤΗΣ,9
E. ΕΞΩΤΕΡΙΚΟΙ ΣΥΝΕΡΓΑΤΕΣ,1. ΒΛΑΒΕΣ IT,2. WIFI,9
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,D.1 ΜΗΧΑΝΗΜΑΤΑ ΚΟΥΖΙΝΑΣ,9. ΜΑΤΙΑ ΕΠΑΓΩΓΙΚΑ,9
E. ΕΞΩΤΕΡΙΚΟΙ ΣΥΝΕΡΓΑΤΕΣ,1. ΒΛΑΒΕΣ IT,5. ΆΛΛΗ ΒΛΑΒΗ IT,8
C. ΥΔΡΑΥΛΙΚΑ,6. ΚΑΖΑΝΑΚΙ,,8
Α. ΣΥΝΤΗΡΗΣΗ,9. ΠΟΡΤΑ ΕΙΣΟΔΟΥ,,8
Α. ΣΥΝΤΗΡΗΣΗ,19. ΚΡΕΒΑΤΙ,,8
Α. ΣΥΝΤΗΡΗΣΗ,12. ΜΠΑΛΚΟΝΟΠΟΡΤΑ,,8
Α. ΣΥΝΤΗΡΗΣΗ,10. ΠΟΡΤΑ ΒΕΡΑΝΤΑΣ,,7
Α. ΣΥΝΤΗΡΗΣΗ,Εξωτερικό Φως Βεράντας,,7
